Planet	a	e	i	O	w	L	da	de	di	dO	dw	dL
Mercury	0.38709893	0.20563069	0.122258045174	0.843546774487	1.35187007941	4.40260769892	0.00000066	0.00002527	-0.000113979696429	-0.00216372345879	0.00278074583074	2608.79031222
Venus	0.72333199	0.00677323	0.0592488666504	1.3383305132	2.29568357596	3.17614546039	0.00000092	-0.00004938	-1.38656712797e-05	-0.00483305910561	-0.000527477285047	1021.32855281
Earth	1.00000011	0.01671022	8.72664625997e-07	-0.196535243882	1.79676742118	1.75343368838	-0.00000005	-0.00003804	-0.000227571541913	-0.0883730498268	0.005809425378	628.307576983
Mars	1.52366231	0.09341233	0.0322992376703	0.865308761332	5.86501907917	6.20383077115	-0.00007221	0.00011902	-0.000123482044579	-0.00494602069331	0.00756687497202	334.061370108
Jupiter	5.20336301	0.04839266	0.0227817827263	1.75503590063	0.257503259845	0.600469708107	0.00060737	-0.00012880	-2.0119767766e-05	0.00590100668236	0.00407209555174	52.9662745127
Saturn	9.53707032	0.05415060	0.0433620071341	1.98470185704	1.61324168701	0.87169282667	-0.00301530	-0.00036762	2.96221159158e-05	-0.00771362807329	-0.00944848534978	21.3369068145
Uranus	19.19126393	0.04716771	0.0134365917794	1.29555580936	2.98388889117	5.4669328642	0.00152025	-0.00019150	-1.01326059352e-05	-0.00815165723418	0.00636347045277	7.47848272357
Neptune	30.06896348	0.00858587	0.0308778415275	2.29897718679	0.784898126567	5.32116034708	-0.00125196	0.0000251	-1.76472179924e-05	-0.000733280692678	-0.00409391216739	3.81281336506
Pluto	39.48168677	0.24880766	0.299179977054	1.92515872787	3.91070270628	4.17009441237	-0.00076912	0.00006465	5.36688744988e-05	-0.000180980947158	-0.000641166093267	2.53435333691
